City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Morgan City,US,2021-11-23 07:26:14,29.6994,-91.2068,50.0,93,1,0.0
244,Belaya Kalitva,RU,2021-11-23 07:26:15,48.17,40.78,38.91,95,100,9.71
245,Poum,NC,2021-11-23 07:26:16,-20.2333,164.0167,77.9,79,98,5.84
246,Karasuk,RU,2021-11-23 07:26:17,53.7377,78.0403,33.44,88,100,20.18
247,Siniscola,IT,2021-11-23 07:26:19,40.5719,9.6922,58.55,84,28,5.06
248,Cockburn Town,TC,2021-11-23 07:21:29,21.4612,-71.1419,81.16,74,6,11.21
249,Bend,US,2021-11-23 07:26:11,44.0582,-121.3153,45.68,43,75,1.99
250,Guerrero Negro,MX,2021-11-23 07:25:27,27.9769,-114.0611,66.76,67,100,8.84
251,Airai,TL,2021-11-23 07:26:22,-8.9266,125.4092,71.37,68,100,1.32
252,Port Lincoln,AU,2021-11-23 07:26:23,-34.7333,135.8667,69.82,59,64,3.78
253,Oranjemund,NA,2021-11-23 07:26:24,-28.55,16.4333,66.47,68,93,9.75
254,Whitehorse,CA,2021-11-23 07:26:25,60.7161,-135.0538,5.77,84,90,4.0
255,Sorland,NO,2021-11-23 07:26:26,67.667,12.6934,39.06,75,100,20.0
256,Luderitz,NA,2021-11-23 07:26:27,-26.6481,15.1594,70.61,50,0,11.54
257,Berdigestyakh,RU,2021-11-23 07:26:28,62.0989,126.6992,-11.13,96,100,1.86
258,Dinghai,CN,2021-11-23 07:26:29,26.2847,119.7936,58.12,63,52,10.45
259,Dzhebariki-Khaya,RU,2021-11-23 07:26:30,62.2167,135.8,-15.86,94,100,3.4
260,Dublin,US,2021-11-23 07:24:40,37.7021,-121.9358,57.69,70,1,6.91
261,Tatawin,TN,2021-11-23 07:26:31,32.9297,10.4518,61.68,55,6,3.27
262,Roebourne,AU,2021-11-23 07:26:32,-20.7833,117.1333,89.2,48,31,17.6
263,Saint George,US,2021-11-23 07:26:07,37.1041,-113.5841,58.35,29,1,1.01
264,Pinsk,BY,2021-11-23 07:22:01,52.1229,26.0951,31.62,89,100,7.65
265,Darab,IR,2021-11-23 07:26:35,28.7519,54.5444,72.43,32,7,4.29
266,Awjilah,LY,2021-11-23 07:26:36,29.1081,21.2869,65.03,42,100,11.32
267,Faya,SA,2021-11-23 07:24:03,18.3851,42.4509,73.51,31,10,3.69
268,Qinhuangdao,CN,2021-11-23 07:26:38,39.9317,119.5883,40.66,23,0,13.47
269,Huilong,CN,2021-11-23 07:25:14,31.8111,121.655,48.97,31,52,11.45
270,Kankon,IN,2021-11-23 07:26:39,15.0167,74.0167,87.6,68,17,4.47
271,Berbera,SO,2021-11-23 07:26:40,10.4396,45.0143,81.91,53,4,5.35
272,Sola,VU,2021-11-23 07:27:41,-13.8833,167.55,82.72,77,100,17.07
273,Saint Anthony,US,2021-11-23 07:25:11,45.0205,-93.218,28.71,63,1,1.01
274,Genhe,CN,2021-11-23 07:27:42,50.7833,121.5167,8.49,53,100,9.37
275,Barra Patuca,HN,2021-11-23 07:27:43,15.8,-84.2833,76.87,83,16,9.75
276,Gracac,HR,2021-11-23 07:27:44,44.3006,15.8547,47.95,93,100,10.74
277,Taraza,CO,2021-11-23 07:27:45,7.5836,-75.4007,73.04,98,100,2.42
278,Tuktoyaktuk,CA,2021-11-23 07:27:46,69.4541,-133.0374,-7.01,97,94,7.2
279,Truckee,US,2021-11-23 07:26:06,39.328,-120.1833,42.57,39,1,0.0
280,Vardo,NO,2021-11-23 07:27:49,70.3705,31.1107,22.98,74,40,8.05
281,Najran,SA,2021-11-23 07:27:50,17.4924,44.1277,75.85,21,2,5.64
282,Whitley Bay,GB,2021-11-23 07:27:51,55.0397,-1.4471,42.71,92,20,6.91
283,Gizo,SB,2021-11-23 07:27:52,-8.103,156.8419,84.69,71,79,10.45
284,Aquiraz,BR,2021-11-23 07:27:53,-3.9014,-38.3911,81.18,80,80,10.67
285,Dunedin,NZ,2021-11-23 07:24:12,-45.8742,170.5036,54.3,70,71,4.09
286,Peterhead,GB,2021-11-23 07:27:54,57.5058,-1.7981,44.11,80,100,12.12
287,Sinnamary,GF,2021-11-23 07:27:55,5.3833,-52.95,76.82,89,68,5.68
288,Bethel,US,2021-11-23 07:25:05,41.3712,-73.414,35.04,65,1,5.75
289,San Cristobal,VE,2021-11-23 07:27:57,7.7669,-72.225,64.13,97,100,1.34
290,Talnakh,RU,2021-11-23 07:24:47,69.4865,88.3972,8.47,94,100,7.61
291,Sumbe,AO,2021-11-23 07:27:59,-11.2061,13.8437,82.4,84,90,4.61
292,Lonevag,NO,2021-11-23 07:28:00,60.5262,5.4937,46.0,96,100,4.0
